Name,Price,Rate,Url
Vivo Z1Pro (Sonic Blue 64 GB),₹13990,4.5,https://www.flipkart.com/vivo-z1pro-sonic-blue-64-gb/p/itmfghyebfrvjzfs?pid=MOBFHHT5NZH8XCGB&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFHHT5NZH8XCGBSRHJKG&fm=organic&iid=d2765028-f5f9-493d-ade7-357a060cf402.MOBFHHT5NZH8XCGB.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Z1Pro (Sonic Black 128 GB),₹15990,4.5,https://www.flipkart.com/vivo-z1pro-sonic-black-128-gb/p/itmfghyebfrvjzfs?pid=MOBFHHT529KQHT8Z&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFHHT529KQHT8Z7WZJL1&fm=organic&iid=f7af85ea-db84-44fc-ba27-51df90dc2c38.MOBFHHT529KQHT8Z.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Z1x (Phantom Purple 64 GB),₹16990,4.4,https://www.flipkart.com/vivo-z1x-phantom-purple-64-gb/p/itm94456f18bc07b?pid=MOBFJRPVYZFWMJHG&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFJRPVYZFWMJHGN9FTZW&fm=organic&iid=b1de0a3d-6366-4bf1-8895-6e671b954ff3.MOBFJRPVYZFWMJHG.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Z1Pro (Sonic Black 64 GB),₹13990,4.5,https://www.flipkart.com/vivo-z1pro-sonic-black-64-gb/p/itmfghyebfrvjzfs?pid=MOBFHHT56NTTZKZ5&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFHHT56NTTZKZ5PWUNSS&fm=organic&iid=9fc7910f-daa3-49e4-aa0a-2e7c628c0c2f.MOBFHHT56NTTZKZ5.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Z1Pro (Sonic Blue 128 GB),₹15990,4.5,https://www.flipkart.com/vivo-z1pro-sonic-blue-128-gb/p/itmfghyebfrvjzfs?pid=MOBFHHT5ADHZQAJH&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFHHT5ADHZQAJH5ZTNQM&fm=organic&iid=6aad0ebf-67b2-445a-9e4b-e0fd5dc5fe64.MOBFHHT5ADHZQAJH.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Z1Pro (Sonic Black 64 GB),₹14990,4.5,https://www.flipkart.com/vivo-z1pro-sonic-black-64-gb/p/itmfghyebfrvjzfs?pid=MOBFHHT5DEGWB9JE&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFHHT5DEGWB9JEJSQP1F&fm=organic&iid=275a6a3a-b7bf-4b0e-b21d-a33b568050a8.MOBFHHT5DEGWB9JE.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Z1x (Fusion Blue 64 GB),₹16990,4.4,https://www.flipkart.com/vivo-z1x-fusion-blue-64-gb/p/itm94456f18bc07b?pid=MOBFJRPVSJ6PJ2RE&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFJRPVSJ6PJ2RER6R9CQ&fm=organic&iid=4793ee4d-1434-4c01-94a5-70ce7b333d4d.MOBFJRPVSJ6PJ2RE.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Z1x (Phantom Purple 128 GB),₹18990,4.4,https://www.flipkart.com/vivo-z1x-phantom-purple-128-gb/p/itm94456f18bc07b?pid=MOBFJRPVWHYFQFYQ&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFJRPVWHYFQFYQLBUU4X&fm=organic&iid=5675d105-4200-4577-aa4a-4fea4b5476eb.MOBFJRPVWHYFQFYQ.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo V17Pro (Glacier Ice White 128 GB),₹27990,4.5,https://www.flipkart.com/vivo-v17pro-glacier-ice-white-128-gb/p/itm2076a68e4facb?pid=MOBFK87CPGS4H9ZZ&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFK87CPGS4H9ZZCWFLVA&fm=organic&iid=6790322c-d473-4fa2-b2ef-7ec00add3005.MOBFK87CPGS4H9ZZ.SEARCH&ssid=pstukmpqgw0000001573038898924
Vivo Y91 (Nebula Purple 32 GB),₹8490,4.4,https://www.flipkart.com/vivo-y91-nebula-purple-32-gb/p/itmfgy3wgkmj8hnw?pid=MOBFGPGJXMGZQYKN&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Vivo&lid=LSTMOBFGPGJXMGZQYKNG1TQUN&fm=organic&iid=d2bc61da-cdc7-4030-9ef2-457f2367e952.MOBFGPGJXMGZQYKN.SEARCH&ssid=pstukmpqgw0000001573038898924
